,vw,o,c,h,l,n,prev_close,daily_return,abs_daily_return,pct_change,direction,Recovery,outlier_id,day type,day,Date
27,1.1593,1.15577,1.15475,1.17302,1.14682,152328.0,1.15577,-0.0008825285307630592,0.0008825285307630592,0.08825285307630937,Down,fast recovery,4,post day,Tuesday,2010-06-01
28,1.1567,1.15475,1.1547,1.16017,1.15266,126360.0,1.15475,-4.329941545779041e-05,4.329941545779041e-05,0.004329941545777594,Down,fast recovery,4,post day,Wednesday,2010-06-02
29,1.1536,1.15474,1.1546,1.1573,1.14956,111225.0,1.1547,-8.660258075689701e-05,8.660258075689701e-05,0.008660258075687821,Down,fast recovery,4,post day,Thursday,2010-06-03
30,1.156,1.1546,1.16155,1.16302,1.14148,128520.0,1.1546,0.006019400658236629,0.006019400658236629,0.6019400658236584,Up,fast recovery,4,post day,Friday,2010-06-04
31,1.1629,1.16569,1.16271,1.1673,1.15835,119982.0,1.16155,0.000998665576169625,0.000998665576169625,0.09986655761695662,Up,fast recovery,4,post day,Monday,2010-06-07
32,1.1563,1.16271,1.15296,1.1641,1.14844,133737.0,1.16271,-0.008385581959387918,0.008385581959387918,0.8385581959387878,Down,fast recovery,4,post day,Tuesday,2010-06-08
33,1.1499,1.14874,1.14911,1.15797,1.14496,148195.0,1.14872,0.0003395083223066652,0.0003395083223066652,0.03395083223065587,Up,slow recovery,5,prior day,Friday,2010-05-21
34,1.1565,1.15104,1.16024,1.16191,1.14913,116306.0,1.15103,0.008001529065271922,0.008001529065271922,0.8001529065271962,Up,slow recovery,5,prior day,Monday,2010-05-24
35,1.1625,1.16023,1.15739,1.1695,1.15178,176660.0,1.16024,-0.002456388333448269,0.002456388333448269,0.24563883334483005,Down,slow recovery,5,prior day,Tuesday,2010-05-25
36,1.1579,1.15739,1.15873,1.1623,1.15139,135028.0,1.15739,0.001157777412972394,0.001157777412972394,0.1157777412972294,Up,slow recovery,5,prior day,Wednesday,2010-05-26
37,1.1552,1.15875,1.15214,1.16549,1.1484,142073.0,1.15873,-0.005687261053049542,0.005687261053049542,0.5687261053049508,Down,slow recovery,5,prior day,Thursday,2010-05-27
