,3 steps,24 steps
1,0.000729786,0.177278962
2,0.002015945,0.006177091
3,0.00248172,0.004605928
4,0.001407493,0.001138504
5,0.000941516,0.001007932
6,0.000727664,0.006130519
7,0.000932541,0.001683209
8,0.004919932,0.009335603
9,0.003161428,0.001481328
10,0.002124966,0.006785571
11,0.002333511,0.004338921
12,0.002289907,0.002494988
13,0.000734116,0.010363447
14,0.001246806,0.004483717
15,0.000630913,0.002812717
16,0.001196926,0.011213352
17,0.001718079,0.004794837
18,0.001197206,0.005962939
19,0.002061547,0.005527954
20,0.001129233,0.00516203
21,0.001960851,0.006039341
22,0.001198323,0.002711156
23,0.001490982,0.003269241
24,0.002235525,10.76470553
25,0.001246141,0.00129749
26,0.001178935,0.005106477
27,0.000870732,0.007228126
28,0.000397122,0.010522425
29,0.001316711,0.004615825
30,0.001202768,3.269093184
31,0.000271715,0.002717445
32,0.000951144,0.001675161
33,0.004240101,0.002613563
34,0.001999934,0.003194962
35,0.000272125,0.00582845
36,0.000548585,0.003809014
37,0.001264525,0.007207195
38,0.002190683,0.005864495
39,0.001458091,0.003527862
40,0.000689052,0.006374643
41,0.001498738,0.001397371
42,0.001847471,0.003177123
43,0.000644361,0.009812795
44,0.000311395,0.000373662
45,0.000475043,0.00295679
46,8.335488341060366e-05,0.003002751
47,0.001924714,0.002110376
48,0.000481576,0.006184302
49,0.00071102,0.003629921
50,0.002371067,1.094715712
51,0.000465787,0.005129216
52,0.000439335,0.116568121
53,0.003025417,0.01523041
54,0.002681138,0.001625235
55,0.001769164,0.005450238
56,0.000677516,0.006125464
57,0.000339,0.004218519
58,0.002340682,0.003344241
59,0.00084906,0.00311253
60,0.000626428,0.006331042
61,0.000911828,0.004184886
62,0.000577619,0.003901099
63,0.001972449,0.001569663
64,0.001376211,0.00294783
65,0.000536702,0.001345326
66,0.001158371,0.001618304
67,0.001007681,0.000976372
68,0.002520106,0.00216581
69,0.000276316,0.002354697
70,0.001609522,0.008908876
71,0.004359747,0.003915736
72,0.001418543,0.002666898
73,0.001938118,0.006602769
74,0.001885405,0.006770404
75,0.001484277,0.003139042
76,0.003194566,0.004123037
77,0.00227869,0.00174745
78,0.000966006,0.002683271
79,0.001523736,0.005612497
80,0.001795322,0.001547317
81,0.001277377,0.001125445
82,0.000680827,0.153331984
83,0.001231194,0.012841923
84,0.000324643,0.003593118
85,0.000289481,0.007803222
86,0.005896234,0.001933328
87,0.001885853,0.001163724
88,0.000535211,0.001854951
89,0.000727735,0.001964846
90,0.000758961,0.004207994
91,0.000874721,0.002157442
92,0.000459766,0.000799998
93,0.000153509,0.00069881
94,0.000848723,0.000690414
95,0.000800083,0.000598959
96,0.000353623,0.000710138
97,0.000591988,0.002474625
98,0.00010757,0.00157104
99,0.000145781,0.001115607
100,0.000136971,0.003206519
101,0.000385241,0.157515746
102,0.001916739,0.00190504
103,0.000352499,0.002478063
104,0.000244647,0.001503751
105,0.000627411,0.00061601
106,0.00029767,0.004671882
107,0.011937417607751398,1.110771298
108,0.004585218,0.004106798
109,0.001484254,0.002577374
110,0.003477968,0.003276413
111,0.000431024,0.003106769
112,0.001676657,0.001757779
113,0.00042298,0.0031562
114,0.00092235,0.001168924
115,0.002196609,0.001743359
116,0.001290643,0.001882886
117,0.000493346,0.002338014
118,0.00210122,0.004392181
119,0.006025122,0.004495601
120,0.005756776,0.004190247
121,0.000944371,0.008430609
122,0.000841377,0.001435054
123,0.001347154,0.009670395
124,0.001734844,0.005035421
125,0.000511868,0.007395933
126,0.006837003,0.004514209
127,0.000828368,0.005517317
128,0.002088859,0.005940618
129,0.001654054,0.011526471
130,0.005033613,0.008439967
131,0.00115409,0.006611909
132,0.000932529,0.012747377
133,0.00468078,0.005414823
134,0.00520205,0.005034491
135,0.000555545,0.005220403
136,0.002679414,0.002888459
137,0.000651587,0.00310974
138,0.005474239,0.004030839
139,0.001113124,0.004813591
140,0.000303716,0.001759333
