,0
0,0.17727896162857262
1,0.006177091016801578
2,0.004605928467430701
3,0.0011385040034495154
4,0.0010079322470251024
5,0.006130518895606772
6,0.0016832091518509953
7,0.009335603371113005
8,0.0014813281899214788
9,0.0067855706717480455
10,0.0043389209611826235
11,0.00249498780089119
12,0.0103634471020911
13,0.004483716571900382
14,0.0028127173040159506
15,0.011213351686612917
16,0.004794836974553195
17,0.005962938747613256
18,0.00552795381264759
19,0.005162030353788341
20,0.006039341311724968
21,0.002711156400753559
22,0.0032692412666734086
23,10.764705530161338
24,0.0012974898698277127
25,0.005106476613658543
26,0.007228125809352046
27,0.01052242489218288
28,0.004615825070652099
29,3.269093184413133
30,0.0027174445081252934
31,0.001675161421577718
32,0.0026135630555234263
33,0.0031949620966167836
34,0.005828449706064618
35,0.0038090139180708576
36,0.007207195307371805
37,0.005864494818053912
38,0.0035278620629902693
39,0.0063746430153352835
40,0.001397371381035175
41,0.0031771229705847876
42,0.00981279547990654
43,0.0003736623943169647
44,0.002956789590524229
45,0.003002750902840875
46,0.002110375713778395
47,0.0061843018923210345
48,0.0036299206664489954
49,1.0947157119812874
50,0.005129215924920148
51,0.11656812142447179
52,0.01523040994825026
53,0.0016252354352423017
54,0.005450237934691574
55,0.006125464441251184
56,0.004218518967778732
57,0.003344240743039933
58,0.0031125295915523606
59,0.006331041957284926
60,0.004184885763661733
61,0.0039010988380861113
62,0.0015696633800856136
63,0.002947829924791206
64,0.001345325621033417
65,0.0016183041170184096
66,0.0009763724575853031
67,0.0021658095465755547
68,0.002354697095686599
69,0.008908876217049031
70,0.003915735515037666
71,0.002666898254519865
72,0.006602768568504447
73,0.0067704039573840205
74,0.003139041792113218
75,0.004123037344693104
76,0.001747450372935438
77,0.0026832712712581996
78,0.0056124974036268725
79,0.001547316531300927
80,0.0011254446960053553
81,0.15333198388502872
82,0.012841923112648278
83,0.0035931175848126287
84,0.007803222013556883
85,0.0019333282597326811
86,0.00116372449050307
87,0.0018549509058359219
88,0.001964846044803202
89,0.004207993840633993
90,0.0021574423915960866
91,0.000799998320030186
92,0.000698810443608146
93,0.000690413566321845
94,0.0005989593370015424
95,0.0007101376523555936
96,0.0024746251160689737
97,0.0015710399450837745
98,0.0011156071149347156
99,0.003206519048326947
100,0.1575157462178655
101,0.0019050398780363245
102,0.002478062830346508
103,0.0015037508158998118
104,0.0006160099024301981
105,0.00467188182009559
106,1.1107712979769104
107,0.004106798006883316
108,0.002577373734990986
109,0.003276412889734418
110,0.0031067691522794418
111,0.0017577786530232795
112,0.0031561997746772327
113,0.0011689238431397166
114,0.0017433586496650388
115,0.0018828857853459776
116,0.0023380136774493448
117,0.00439218095321232
118,0.004495601442042699
119,0.004190246568031343
120,0.008430609178193665
121,0.0014350536048370122
122,0.009670395204036421
123,0.005035420561999133
124,0.007395933419489871
125,0.004514209234529439
126,0.00551731669750142
127,0.005940617768617918
128,0.01152647084679059
129,0.00843996736632346
130,0.006611909138396882
131,0.012747377061604724
132,0.005414823190052574
133,0.005034490626311538
134,0.005220402947724151
135,0.002888459012641977
136,0.003109739560825957
137,0.00403083866007135
138,0.004813590612344288
139,0.0017593326138133727
