,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return
42,4971,0.9101,0.91008,0.90987,0.91087,0.909422,4971,2023-07-11 14:00:00,0.91011,-0.0002637043873817648,0.0002637043873817648
43,3924,0.9098,0.90988,0.90973,0.91017,0.909256,3924,2023-07-11 15:00:00,0.90987,-0.00015386813500820775,0.00015386813500820775
44,2972,0.9094,0.9097,0.90887,0.9098,0.9086,2972,2023-07-11 16:00:00,0.90973,-0.0009453354291933682,0.0009453354291933682
45,2906,0.9086,0.90886,0.90851,0.9089,0.908018,2906,2023-07-11 17:00:00,0.90887,-0.0003960962513889951,0.0003960962513889951
46,2671,0.9089,0.90852,0.90912,0.90926,0.908183,2671,2023-07-11 18:00:00,0.90851,0.0006714290431585777,0.0006714290431585777
47,2819,0.9088,0.9091,0.90855,0.90913,0.908183,2819,2023-07-11 19:00:00,0.90912,-0.000626979936642105,0.000626979936642105
48,1469,0.9085,0.90854,0.90833,0.90864,0.9081,1469,2023-07-11 20:00:00,0.90855,-0.00024214407572505417,0.00024214407572505417
49,897,0.9083,0.90833,0.90842,0.90851,0.9081,897,2023-07-11 21:00:00,0.90833,9.908293241446886e-05,9.908293241446886e-05
50,850,0.9082,0.90845,0.90805,0.90849,0.9079,850,2023-07-11 22:00:00,0.90842,-0.00040730058783380093,0.00040730058783380093
51,1071,0.908,0.90806,0.90793,0.90813,0.9076,1071,2023-07-11 23:00:00,0.90805,-0.00013215131325368536,0.00013215131325368536
52,2768,0.9076,0.90794,0.90751,0.90807,0.9071,2768,2023-07-12 00:00:00,0.90793,-0.0004625907283600894,0.0004625907283600894
53,3210,0.9069,0.90752,0.90682,0.90753,0.9063,3210,2023-07-12 01:00:00,0.90751,-0.0007603222003064202,0.0007603222003064202
54,2860,0.9066,0.90679,0.90649,0.90698,0.9061,2860,2023-07-12 02:00:00,0.90682,-0.0003639090447938306,0.0003639090447938306
55,2190,0.9067,0.90648,0.906536,0.90686,0.9063,2190,2023-07-12 03:00:00,0.90649,5.07451819655931e-05,5.07451819655931e-05
56,2106,0.9063,0.90661,0.90608,0.90665,0.905797,2106,2023-07-12 04:00:00,0.906536,-0.000503013669617105,0.000503013669617105
57,2679,0.9065,0.906,0.90689,0.90696,0.905797,2679,2023-07-12 05:00:00,0.90608,0.0008939607981634926,0.0008939607981634926
58,3231,0.9066,0.90686,0.90717,0.90734,0.905879,3231,2023-07-12 06:00:00,0.90689,0.00030874747764343853,0.00030874747764343853
59,3921,0.9069,0.90719,0.90683,0.90729,0.906372,3921,2023-07-12 07:00:00,0.90717,-0.0003747919353594221,0.0003747919353594221
60,3270,0.9069,0.90684,0.90719,0.90728,0.906372,3270,2023-07-12 08:00:00,0.90683,0.00039698730743361704,0.00039698730743361704
61,3014,0.9071,0.90723,0.90699,0.90756,0.9065,3014,2023-07-12 09:00:00,0.90719,-0.00022046098391746932,0.00022046098391746932
62,2743,0.9072,0.90698,0.90722,0.90756,0.906701,2743,2023-07-12 10:00:00,0.90699,0.0002535860373323449,0.0002535860373323449
63,3445,0.9074,0.9072,0.9078,0.90791,0.9068,3445,2023-07-12 11:00:00,0.90722,0.0006393157117347776,0.0006393157117347776
64,8232,0.9049,0.90776,0.90426,0.90778,0.903,8232,2023-07-12 12:00:00,0.9078,-0.0038995373430272067,0.0038995373430272067
65,7918,0.9023,0.90424,0.90106,0.90446,0.9007,7918,2023-07-12 13:00:00,0.90426,-0.0035388052108906516,0.0035388052108906516
66,7298,0.9005,0.90107,0.89924,0.90179,0.898796,7298,2023-07-12 14:00:00,0.90106,-0.0020198432956739093,0.0020198432956739093
67,5439,0.8993,0.89924,0.89909,0.89998,0.8986,5439,2023-07-12 15:00:00,0.89924,-0.00016680752635569424,0.00016680752635569424
68,4304,0.8986,0.89911,0.8983,0.89925,0.897908,4304,2023-07-12 16:00:00,0.89909,-0.000878666206942528,0.000878666206942528
69,3639,0.8986,0.89834,0.89849,0.89887,0.897989,3639,2023-07-12 17:00:00,0.8983,0.00021151063119227817,0.00021151063119227817
70,3126,0.8981,0.8985,0.89777,0.89862,0.897424,3126,2023-07-12 18:00:00,0.89849,-0.0008013444779575219,0.0008013444779575219
71,2317,0.8979,0.89778,0.89786,0.89817,0.8973,2317,2023-07-12 19:00:00,0.89777,0.00010024839324106899,0.00010024839324106899
72,1744,0.8981,0.89788,0.8983,0.89842,0.897666,1744,2023-07-12 20:00:00,0.89786,0.0004900541287060299,0.0004900541287060299
73,901,0.8982,0.8983,0.8984,0.89857,0.89789,901,2023-07-12 21:00:00,0.8983,0.00011132138483801512,0.00011132138483801512
74,1105,0.898,0.89838,0.8979,0.89846,0.8977,1105,2023-07-12 22:00:00,0.8984,-0.0005565449688334205,0.0005565449688334205
75,1264,0.8978,0.89801,0.89759,0.89809,0.8973,1264,2023-07-12 23:00:00,0.8979,-0.00034525002784278034,0.00034525002784278034
76,2305,0.8975,0.89756,0.89776,0.89782,0.8971,2305,2023-07-13 00:00:00,0.89759,0.00018939604942123182,0.00018939604942123182
77,2641,0.8975,0.89777,0.89723,0.89792,0.897,2641,2023-07-13 01:00:00,0.89776,-0.0005903582249153788,0.0005903582249153788
78,2287,0.8974,0.89722,0.89715,0.89768,0.8969,2287,2023-07-13 02:00:00,0.89723,-8.916331375452113e-05,8.916331375452113e-05
79,2089,0.8972,0.89716,0.897102,0.89745,0.8967,2089,2023-07-13 03:00:00,0.89715,-5.350275873605083e-05,5.350275873605083e-05
80,1843,0.8971,0.89716,0.89756,0.89759,0.8967,1843,2023-07-13 04:00:00,0.897102,0.000510532804519519,0.000510532804519519
81,2818,0.8977,0.89755,0.89834,0.89846,0.897183,2818,2023-07-13 05:00:00,0.89756,0.0008690226837203116,0.0008690226837203116
82,4511,0.8974,0.89836,0.89696,0.89837,0.896539,4511,2023-07-13 06:00:00,0.89834,-0.0015361667074827434,0.0015361667074827434
83,5006,0.8971,0.897,0.89638,0.89796,0.895977,5006,2023-07-13 07:00:00,0.89696,-0.0006466286122012408,0.0006466286122012408
84,3330,0.8985,0.89889,0.89846,0.89901,0.898,3330,2023-07-24 00:00:00,,,
85,4817,0.8989,0.89845,0.89906,0.89929,0.8982,4817,2023-07-24 01:00:00,0.89846,0.0006678093626871913,0.0006678093626871913
86,4013,0.8987,0.89907,0.89873,0.89917,0.8981,4013,2023-07-24 02:00:00,0.89906,-0.00036705003003130096,0.00036705003003130096
87,3187,0.8987,0.89874,0.89881,0.89887,0.8983,3187,2023-07-24 03:00:00,0.89873,8.901449823636574e-05,8.901449823636574e-05
88,2944,0.8992,0.89881,0.89923,0.89951,0.8986,2944,2023-07-24 04:00:00,0.89881,0.00046728452064393584,0.00046728452064393584
89,3817,0.899,0.899,0.89829,0.89936,0.898069,3817,2023-07-24 05:00:00,0.89923,-0.0010453387898534756,0.0010453387898534756
90,5109,0.8984,0.89833,0.89798,0.89889,0.8973,5109,2023-07-24 06:00:00,0.89829,-0.0003451001347004113,0.0003451001347004113
91,10219,0.9004,0.89796,0.90235,0.9029,0.8969,10219,2023-07-24 07:00:00,0.89798,0.004866478095280502,0.004866478095280502
92,8833,0.9027,0.90235,0.90322,0.9037,0.901876,8833,2023-07-24 08:00:00,0.90235,0.0009641491660664237,0.0009641491660664237
93,6551,0.9022,0.90323,0.90237,0.9034,0.9013,6551,2023-07-24 09:00:00,0.90322,-0.0009410774783552373,0.0009410774783552373
94,5611,0.902,0.90239,0.90156,0.90251,0.9012,5611,2023-07-24 10:00:00,0.90237,-0.0008976362246085058,0.0008976362246085058
95,6009,0.901,0.90153,0.90111,0.90186,0.899928,6009,2023-07-24 11:00:00,0.90156,-0.0004991348329562774,0.0004991348329562774
96,6349,0.9016,0.9011,0.90185,0.90232,0.900657,6349,2023-07-24 12:00:00,0.90111,0.000821209397298969,0.000821209397298969
97,9150,0.9019,0.90186,0.90212,0.90294,0.90056,9150,2023-07-24 13:00:00,0.90185,0.00029938459832565555,0.00029938459832565555
98,9271,0.9025,0.90211,0.90259,0.90341,0.901388,9271,2023-07-24 14:00:00,0.90212,0.0005209949895800674,0.0005209949895800674
99,5803,0.9028,0.90258,0.902,0.90322,0.902,5803,2023-07-24 15:00:00,0.90259,-0.0006536744258190091,0.0006536744258190091
100,5143,0.9026,0.90231,0.90239,0.90321,0.902039,5143,2023-07-24 16:00:00,0.902,0.0004323725055432389,0.0004323725055432389
101,4194,0.9027,0.90239,0.90291,0.90345,0.901876,4194,2023-07-24 17:00:00,0.90239,0.0005762475204733707,0.0005762475204733707
102,3526,0.9031,0.90288,0.90327,0.90354,0.90269,3526,2023-07-24 18:00:00,0.90291,0.0003987108349669701,0.0003987108349669701
103,3501,0.9037,0.90327,0.90411,0.90411,0.9029,3501,2023-07-24 19:00:00,0.90327,0.000929954498654834,0.000929954498654834
104,3169,0.9039,0.90409,0.90367,0.9041,0.9035,3169,2023-07-24 20:00:00,0.90411,-0.00048666644545464156,0.00048666644545464156
105,1042,0.9035,0.90367,0.90368,0.9038,0.90322,1042,2023-07-24 21:00:00,0.90367,1.1065986477437021e-05,1.1065986477437021e-05
106,1230,0.9037,0.9037,0.9037,0.90393,0.9033,1230,2023-07-24 22:00:00,0.90368,2.2131728045225058e-05,2.2131728045225058e-05
107,1927,0.9039,0.90391,0.90388,0.90415,0.9036,1927,2023-07-24 23:00:00,0.9037,0.00019918114418509351,0.00019918114418509351
108,3632,0.9036,0.90387,0.90353,0.9039,0.9032,3632,2023-07-25 00:00:00,0.90388,-0.00038721954241709237,0.00038721954241709237
109,5426,0.903,0.9034,0.90301,0.90355,0.9025,5426,2023-07-25 01:00:00,0.90353,-0.0005755204586456188,0.0005755204586456188
110,4417,0.9029,0.903,0.90244,0.90329,0.9022,4417,2023-07-25 02:00:00,0.90301,-0.000631222245600779,0.000631222245600779
111,3358,0.9026,0.90243,0.902527,0.90283,0.9022,3358,2023-07-25 03:00:00,0.90244,9.64053011834008e-05,9.64053011834008e-05
112,2644,0.9029,0.90264,0.90329,0.90342,0.902364,2644,2023-07-25 04:00:00,0.902527,0.0008454040710140187,0.0008454040710140187
113,4307,0.903,0.9033,0.90281,0.90336,0.902446,4307,2023-07-25 05:00:00,0.90329,-0.0005313908047249897,0.0005313908047249897
114,5687,0.9024,0.90283,0.90252,0.90318,0.9017,5687,2023-07-25 06:00:00,0.90281,-0.0003212193041725418,0.0003212193041725418
115,6917,0.9026,0.90255,0.90322,0.90336,0.901876,6917,2023-07-25 07:00:00,0.90252,0.0007756060807517107,0.0007756060807517107
116,7486,0.9039,0.90322,0.9036,0.9047,0.9031,7486,2023-07-25 08:00:00,0.90322,0.0004207169903234383,0.0004207169903234383
117,5298,0.9046,0.90375,0.9055,0.90561,0.9033,5298,2023-07-25 09:00:00,0.9036,0.0021027003098716386,0.0021027003098716386
118,4220,0.9053,0.90559,0.90535,0.90567,0.904977,4220,2023-07-25 10:00:00,0.9055,-0.0001656543346217377,0.0001656543346217377
119,5486,0.9053,0.90534,0.90502,0.90584,0.9047,5486,2023-07-25 11:00:00,0.90535,-0.00036449991715904506,0.00036449991715904506
120,5708,0.905,0.90503,0.90508,0.9055,0.904486,5708,2023-07-25 12:00:00,0.90502,6.629687741701729e-05,6.629687741701729e-05
121,7669,0.9062,0.90506,0.90588,0.90697,0.904814,7669,2023-07-25 13:00:00,0.90508,0.0008838997657665873,0.0008838997657665873
122,7185,0.9063,0.90587,0.90542,0.90731,0.9052,7185,2023-07-25 14:00:00,0.90588,-0.0005077935267364507,0.0005077935267364507
123,5153,0.9051,0.90543,0.90502,0.90556,0.904486,5153,2023-07-25 15:00:00,0.90542,-0.0004417839234829758,0.0004417839234829758
124,4648,0.905,0.90504,0.905305,0.90569,0.9044,4648,2023-07-25 16:00:00,0.90502,0.00031491016773107746,0.00031491016773107746
125,4395,0.9058,0.9056,0.90582,0.90614,0.905305,4395,2023-07-25 17:00:00,0.905305,0.0005688690551802234,0.0005688690551802234
126,3831,0.9057,0.90583,0.90535,0.90614,0.9051,3831,2023-07-25 18:00:00,0.90582,-0.000518866883045164,0.000518866883045164
127,4277,0.905,0.90537,0.90479,0.9055,0.904486,4277,2023-07-25 19:00:00,0.90535,-0.0006185453139669796,0.0006185453139669796
128,3168,0.9047,0.90478,0.90445,0.90484,0.9043,3168,2023-07-25 20:00:00,0.90479,-0.0003757778047944904,0.0003757778047944904
129,1281,0.9044,0.90445,0.90428,0.9046,0.9041,1281,2023-07-25 21:00:00,0.90445,-0.00018795953341810325,0.00018795953341810325
130,1369,0.9047,0.90435,0.9046,0.90503,0.9042,1369,2023-07-25 22:00:00,0.90428,0.0003538726942982118,0.0003538726942982118
131,1913,0.9049,0.90482,0.90495,0.90507,0.9044,1913,2023-07-25 23:00:00,0.9046,0.0003869113420297065,0.0003869113420297065
132,3760,0.9052,0.90493,0.9053,0.90543,0.9045,3760,2023-07-26 00:00:00,0.90495,0.0003867616995413685,0.0003867616995413685
133,5187,0.9056,0.90532,0.9059,0.90595,0.9051,5187,2023-07-26 01:00:00,0.9053,0.0006627637247321826,0.0006627637247321826
134,3535,0.9056,0.90587,0.90529,0.90595,0.9051,3535,2023-07-26 02:00:00,0.9059,-0.0006733635059057285,0.0006733635059057285
135,3012,0.9051,0.90529,0.905,0.90537,0.9046,3012,2023-07-26 03:00:00,0.90529,-0.0003203393387754338,0.0003203393387754338
136,3192,0.9049,0.90499,0.9051,0.90525,0.904404,3192,2023-07-26 04:00:00,0.905,0.0001104972375690486,0.0001104972375690486
137,3802,0.9045,0.90511,0.90394,0.90516,0.903669,3802,2023-07-26 05:00:00,0.9051,-0.001281626339631035,0.001281626339631035
138,6017,0.9038,0.90399,0.90386,0.9044,0.903,6017,2023-07-26 06:00:00,0.90394,-8.850144921119653e-05,8.850144921119653e-05
139,7092,0.9037,0.90385,0.90339,0.90436,0.902772,7092,2023-07-26 07:00:00,0.90386,-0.0005199920341645504,0.0005199920341645504
140,6038,0.9032,0.90338,0.90288,0.90359,0.902364,6038,2023-07-26 08:00:00,0.90339,-0.0005645402317935891,0.0005645402317935891
141,4671,0.903,0.90283,0.90291,0.90343,0.9025,4671,2023-07-26 09:00:00,0.90288,3.322700691118918e-05,3.322700691118918e-05
142,5216,0.9026,0.90288,0.90231,0.90306,0.901795,5216,2023-07-26 10:00:00,0.90291,-0.0006645180582782835,0.0006645180582782835
143,4926,0.9031,0.90232,0.90391,0.90413,0.902,4926,2023-07-26 11:00:00,0.90231,0.001773226496436974,0.001773226496436974
144,6406,0.9038,0.90391,0.903261,0.90434,0.903098,6406,2023-07-26 12:00:00,0.90391,-0.0007179918354703574,0.0007179918354703574
145,8027,0.9037,0.90345,0.90369,0.90434,0.9029,8027,2023-07-26 13:00:00,0.903261,0.0004749457797912372,0.0004749457797912372
146,8304,0.9037,0.90367,0.903587,0.90435,0.903,8304,2023-07-26 14:00:00,0.90369,-0.00011397713817787542,0.00011397713817787542
147,6515,0.9032,0.90385,0.90278,0.90403,0.902283,6515,2023-07-26 15:00:00,0.903587,-0.0008931071385489191,0.0008931071385489191
148,4484,0.9029,0.90279,0.90315,0.90349,0.9021,4484,2023-07-26 16:00:00,0.90278,0.00040984514499654563,0.00040984514499654563
149,4571,0.9037,0.90316,0.90431,0.90435,0.903016,4571,2023-07-26 17:00:00,0.90315,0.001284393511598227,0.001284393511598227
150,15664,0.9026,0.90431,0.90058,0.90442,0.900333,15664,2023-07-26 18:00:00,0.90431,-0.004124691753933828,0.004124691753933828
151,11208,0.9016,0.90057,0.90117,0.90262,0.900171,11208,2023-07-26 19:00:00,0.90058,0.0006551333585022756,0.0006551333585022756
152,2701,0.9018,0.90117,0.9019,0.90211,0.900982,2701,2023-07-26 20:00:00,0.90117,0.0008100580356647563,0.0008100580356647563
153,949,0.9019,0.9019,0.90188,0.9023,0.9016,949,2023-07-26 21:00:00,0.9019,-2.2175407473134495e-05,2.2175407473134495e-05
154,1274,0.9018,0.9019,0.90208,0.90212,0.9016,1274,2023-07-26 22:00:00,0.90188,0.00022175899232711443,0.00022175899232711443
155,1715,0.9024,0.9021,0.90267,0.90268,0.9019,1715,2023-07-26 23:00:00,0.90208,0.0006540439872294912,0.0006540439872294912
156,4401,0.9022,0.90266,0.90198,0.90272,0.9017,4401,2023-07-27 00:00:00,0.90267,-0.0007643989497822775,0.0007643989497822775
157,4875,0.9014,0.90196,0.90096,0.90197,0.9007,4875,2023-07-27 01:00:00,0.90198,-0.001130845473292114,0.001130845473292114
158,5158,0.9003,0.90095,0.90092,0.90095,0.8993,5158,2023-07-27 02:00:00,0.90096,-4.439708755097783e-05,4.439708755097783e-05
159,3731,0.9006,0.90093,0.9006,0.90098,0.9002,3731,2023-07-27 03:00:00,0.90092,-0.00035519246991974645,0.00035519246991974645
160,3504,0.9006,0.90086,0.90118,0.90119,0.900009,3504,2023-07-27 04:00:00,0.9006,0.0006440151010437764,0.0006440151010437764
161,4427,0.9013,0.90119,0.90178,0.90185,0.9007,4427,2023-07-27 05:00:00,0.90118,0.0006657937371002962,0.0006657937371002962
162,6279,0.9014,0.90178,0.90087,0.901795,0.9007,6279,2023-07-27 06:00:00,0.90178,-0.0010091153052851887,0.0010091153052851887
163,7804,0.8995,0.90088,0.89851,0.90102,0.897989,7804,2023-07-27 07:00:00,0.90087,-0.0026196898553619476,0.0026196898553619476
164,6480,0.8983,0.89854,0.89774,0.8989,0.8975,6480,2023-07-27 08:00:00,0.89851,-0.0008569743241589391,0.0008569743241589391
165,5975,0.898,0.89772,0.8977,0.89871,0.8971,5975,2023-07-27 09:00:00,0.89774,-4.4556330340554036e-05,4.4556330340554036e-05
166,5471,0.8973,0.8977,0.89784,0.89795,0.89662,5471,2023-07-27 10:00:00,0.8977,0.00015595410493474208,0.00015595410493474208
167,3888,0.9333,0.9331,0.93338,0.93367,0.9326,3888,2023-09-11 00:00:00,,,
168,4789,0.933,0.93338,0.93284,0.93365,0.9325,4789,2023-09-11 01:00:00,0.93338,-0.0005785425014463401,0.0005785425014463401
169,3702,0.9325,0.93283,0.93246,0.93291,0.9319,3702,2023-09-11 02:00:00,0.93284,-0.0004073581750354262,0.0004073581750354262
170,2959,0.9325,0.93244,0.932314,0.93285,0.9321,2959,2023-09-11 03:00:00,0.93246,-0.00015657508096859863,0.00015657508096859863
171,4412,0.9319,0.93257,0.93146,0.93266,0.931012,4412,2023-09-11 04:00:00,0.932314,-0.0009160004032976244,0.0009160004032976244
172,5131,0.9314,0.93146,0.93203,0.93206,0.930752,5131,2023-09-11 05:00:00,0.93146,0.0006119425418161493,0.0006119425418161493
173,3175,0.9319,0.932,0.93165,0.93244,0.931185,3175,2023-09-11 06:00:00,0.93203,-0.0004077121981052616,0.0004077121981052616
174,6654,0.9318,0.93166,0.93231,0.93238,0.931,6654,2023-09-11 07:00:00,0.93165,0.0007084205441957752,0.0007084205441957752
175,6149,0.9322,0.93228,0.93209,0.93263,0.9314,6149,2023-09-11 08:00:00,0.93231,-0.0002359730132681168,0.0002359730132681168
176,5236,0.9322,0.93205,0.93171,0.93252,0.931359,5236,2023-09-11 09:00:00,0.93209,-0.0004076859530731324,0.0004076859530731324
177,5542,0.9318,0.93171,0.93176,0.93224,0.931359,5542,2023-09-11 10:00:00,0.93171,5.3664766933911296e-05,5.3664766933911296e-05
178,4952,0.9324,0.93177,0.93285,0.93298,0.9315,4952,2023-09-11 11:00:00,0.93176,0.0011698291405511337,0.0011698291405511337
179,6898,0.9325,0.93284,0.93217,0.93318,0.9319,6898,2023-09-11 12:00:00,0.93285,-0.0007289489199763123,0.0007289489199763123
180,7918,0.9319,0.93217,0.9313,0.93258,0.9311,7918,2023-09-11 13:00:00,0.93217,-0.0009333061566023765,0.0009333061566023765
181,9157,0.9303,0.93145,0.9306,0.93149,0.929282,9157,2023-09-11 14:00:00,0.9313,-0.000751637495973407,0.000751637495973407
182,5783,0.9306,0.93062,0.9306,0.93099,0.929973,5783,2023-09-11 15:00:00,0.9306,0.0,0.0
183,4387,0.93,0.93082,0.93006,0.93082,0.929282,4387,2023-09-11 16:00:00,0.9306,-0.0005802707930367343,0.0005802707930367343
184,3904,0.9304,0.93006,0.93056,0.93073,0.9298,3904,2023-09-11 17:00:00,0.93006,0.0005375997247490011,0.0005375997247490011
185,3217,0.9304,0.93055,0.930319,0.93072,0.9298,3217,2023-09-11 18:00:00,0.93056,-0.00025898383768918365,0.00025898383768918365
186,3217,0.9304,0.9306,0.93029,0.93068,0.929887,3217,2023-09-11 19:00:00,0.930319,-3.1172103332358856e-05,3.1172103332358856e-05
187,1957,0.9302,0.9303,0.93015,0.93038,0.9299,1957,2023-09-11 20:00:00,0.93029,-0.0001504907071987423,0.0001504907071987423
188,1178,0.93,0.93015,0.93009,0.9304,0.9296,1178,2023-09-11 21:00:00,0.93015,-6.450572488314788e-05,6.450572488314788e-05
189,854,0.9301,0.92998,0.9301,0.9302,0.9297,854,2023-09-11 22:00:00,0.93009,1.075164769007893e-05,1.075164769007893e-05
190,1315,0.9302,0.9302,0.93041,0.93042,0.9298,1315,2023-09-11 23:00:00,0.9301,0.0003332974948929378,0.0003332974948929378
191,2488,0.9306,0.93041,0.93073,0.93086,0.9301,2488,2023-09-12 00:00:00,0.93041,0.00034393439451423243,0.00034393439451423243
192,4754,0.9307,0.93074,0.93096,0.93126,0.92852,4754,2023-09-12 01:00:00,0.93073,0.00024711785372778734,0.00024711785372778734
193,3661,0.9307,0.93096,0.93009,0.93115,0.93,3661,2023-09-12 02:00:00,0.93096,-0.0009345192059809631,0.0009345192059809631
194,2893,0.9304,0.93012,0.930492,0.93065,0.93,2893,2023-09-12 03:00:00,0.93009,0.00043221623713835596,0.00043221623713835596
195,2637,0.9309,0.9305,0.93115,0.93119,0.930233,2637,2023-09-12 04:00:00,0.930492,0.0007071527750910781,0.0007071527750910781
196,3537,0.9312,0.93114,0.93138,0.93143,0.930752,3537,2023-09-12 05:00:00,0.93115,0.0002470063899478628,0.0002470063899478628
197,5062,0.9314,0.93136,0.93171,0.9319,0.930752,5062,2023-09-12 06:00:00,0.93138,0.0003543129549701008,0.0003543129549701008
198,6724,0.9324,0.93171,0.93336,0.93345,0.931272,6724,2023-09-12 07:00:00,0.93171,0.0017709373088191918,0.0017709373088191918
199,6077,0.933,0.93335,0.93324,0.93346,0.9323,6077,2023-09-12 08:00:00,0.93336,-0.0001285677552070037,0.0001285677552070037
200,5247,0.9327,0.93318,0.93258,0.93331,0.932053,5247,2023-09-12 09:00:00,0.93324,-0.0007072135785007007,0.0007072135785007007
201,4621,0.9329,0.93258,0.93312,0.93352,0.9322,4621,2023-09-12 10:00:00,0.93258,0.0005790387955992891,0.0005790387955992891
202,3379,0.9333,0.93309,0.933,0.93366,0.932662,3379,2023-09-12 11:00:00,0.93312,-0.00012860082304515816,0.00012860082304515816
203,7439,0.9334,0.93301,0.93391,0.93402,0.932575,7439,2023-09-12 12:00:00,0.933,0.000975348338692354,0.000975348338692354
204,8354,0.9334,0.93392,0.93303,0.9341,0.9327,8354,2023-09-12 13:00:00,0.93391,-0.000942274951547785,0.000942274951547785
205,6753,0.9333,0.933,0.93333,0.93365,0.932749,6753,2023-09-12 14:00:00,0.93303,0.00032153306967618077,0.00032153306967618077
206,5271,0.9324,0.93332,0.93235,0.93337,0.9317,5271,2023-09-12 15:00:00,0.93333,-0.0010500037500133725,0.0010500037500133725
207,4166,0.932,0.93234,0.93252,0.93264,0.931099,4166,2023-09-12 16:00:00,0.93235,0.00018233496004719632,0.00018233496004719632
208,4191,0.932,0.93252,0.93225,0.93255,0.931359,4191,2023-09-12 17:00:00,0.93252,-0.0002895380259940725,0.0002895380259940725
209,4043,0.9319,0.93224,0.93174,0.9324,0.931359,4043,2023-09-12 18:00:00,0.93225,-0.0005470635559131246,0.0005470635559131246
210,3493,0.9319,0.93173,0.93209,0.93215,0.931359,3493,2023-09-12 19:00:00,0.93174,0.0003756412733165491,0.0003756412733165491
211,3598,0.9306,0.93211,0.92982,0.93214,0.9287,3598,2023-09-12 20:00:00,0.93209,-0.0024353871407267478,0.0024353871407267478
212,1140,0.9295,0.92982,0.9292,0.9299,0.928,1140,2023-09-12 21:00:00,0.92982,-0.0006667957239035017,0.0006667957239035017
213,1100,0.9296,0.92933,0.92964,0.92978,0.9291,1100,2023-09-12 22:00:00,0.9292,0.0004735256134309039,0.0004735256134309039
214,1556,0.9297,0.92964,0.92993,0.92996,0.9292,1556,2023-09-12 23:00:00,0.92964,0.00031194871132913003,0.00031194871132913003
215,3243,0.9293,0.92992,0.92938,0.92993,0.9288,3243,2023-09-13 00:00:00,0.92993,-0.0005914423666298006,0.0005914423666298006
216,3882,0.9293,0.92939,0.92952,0.92971,0.9287,3882,2023-09-13 01:00:00,0.92938,0.0001506380597818212,0.0001506380597818212
217,3680,0.9301,0.92954,0.93049,0.93061,0.9291,3680,2023-09-13 02:00:00,0.92952,0.001043549358808876,0.001043549358808876
218,2742,0.9304,0.93047,0.93044,0.93067,0.93,2742,2023-09-13 03:00:00,0.93049,-5.373512880309782e-05,5.373512880309782e-05
219,2940,0.9303,0.93044,0.93,0.93053,0.929627,2940,2023-09-13 04:00:00,0.93044,-0.0004728945445165684,0.0004728945445165684
220,3624,0.9304,0.93,0.93067,0.9309,0.929541,3624,2023-09-13 05:00:00,0.93,0.0007204301075268262,0.0007204301075268262
221,6055,0.9311,0.93069,0.9311,0.93152,0.9302,6055,2023-09-13 06:00:00,0.93067,0.000462032729109181,0.000462032729109181
222,6949,0.931,0.93124,0.93071,0.93181,0.93006,6949,2023-09-13 07:00:00,0.9311,-0.00041885941359682253,0.00041885941359682253
223,6998,0.9311,0.93073,0.93145,0.93182,0.930492,6998,2023-09-13 08:00:00,0.93071,0.0007950919190724961,0.0007950919190724961
224,6338,0.9316,0.93148,0.93198,0.93203,0.930839,6338,2023-09-13 09:00:00,0.93145,0.0005690053142949493,0.0005690053142949493
225,5185,0.9316,0.93198,0.93125,0.93207,0.931,5185,2023-09-13 10:00:00,0.93198,-0.0007832786111290032,0.0007832786111290032
226,4036,0.9315,0.9313,0.93137,0.93192,0.9308,4036,2023-09-13 11:00:00,0.93125,0.0001288590604026942,0.0001288590604026942
227,11745,0.9309,0.93175,0.93042,0.93352,0.929,11745,2023-09-13 12:00:00,0.93137,-0.0010200027915865943,0.0010200027915865943
228,12504,0.9306,0.93041,0.93119,0.93197,0.9295,12504,2023-09-13 13:00:00,0.93042,0.0008275832419766744,0.0008275832419766744
229,10007,0.9315,0.93121,0.93127,0.9322,0.930579,10007,2023-09-13 14:00:00,0.93119,8.591157551099132e-05,8.591157551099132e-05
230,6548,0.9312,0.93126,0.93142,0.93184,0.9304,6548,2023-09-13 15:00:00,0.93127,0.00016107036627399516,0.00016107036627399516
231,5337,0.9309,0.93138,0.93101,0.93153,0.9303,5337,2023-09-13 16:00:00,0.93142,-0.0004401880998905128,0.0004401880998905128
232,4937,0.9307,0.93099,0.93064,0.9313,0.93006,4937,2023-09-13 17:00:00,0.93101,-0.00039741785802513554,0.00039741785802513554
233,4238,0.9312,0.93064,0.93176,0.93177,0.9303,4238,2023-09-13 18:00:00,0.93064,0.0012034728788790615,0.0012034728788790615
234,4121,0.9319,0.93175,0.93177,0.93212,0.931446,4121,2023-09-13 19:00:00,0.93176,1.0732377436200834e-05,1.0732377436200834e-05
235,2135,0.9318,0.93178,0.9317,0.932,0.9315,2135,2023-09-13 20:00:00,0.93177,-7.512583577493855e-05,7.512583577493855e-05
236,1032,0.9318,0.9317,0.93189,0.932,0.9315,1032,2023-09-13 21:00:00,0.9317,0.00020392830310188203,0.00020392830310188203
237,1324,0.9317,0.93186,0.9316,0.93196,0.9314,1324,2023-09-13 22:00:00,0.93189,-0.0003111955273691235,0.0003111955273691235
